47	1.1607e-03	7.9946e-04	3.7401e-03
48	1.3163e-03	5.4997e-04	3.6515e-03
49	8.1267e-04	1.1865e-03	5.4156e-03
50	1.6850e-03	1.0849e-03	4.6876e-03
51	7.6880e-04	1.6077e-03	5.4213e-03
52	1.6320e-03	1.3826e-03	4.5063e-03
53	1.2089e-03	8.8123e-04	3.2984e-03
54	8.3624e-04	2.1405e-04	3.3724e-03
55	1.0743e-03	2.9211e-04	2.6525e-03
56	6.9337e-04	7.3424e-04	2.7931e-03
57	6.8985e-04	3.7311e-04	3.2834e-03
58	8.5825e-04	2.3508e-04	3.4658e-03
59	6.7853e-04	2.9735e-04	3.8802e-03
60	6.4989e-04	3.8289e-04	4.1231e-03
61	4.4914e-04	4.6378e-04	4.3708e-03
62	4.6066e-04	4.0314e-04	4.5505e-03
63	3.4600e-04	5.6561e-04	4.8851e-03
64	7.4979e-04	5.1545e-04	5.1785e-03
65	3.5872e-04	8.1060e-04	5.8599e-03
66	1.7560e-03	9.3547e-04	4.6878e-03
67	3.2678e-04	1.6143e-03	4.7382e-03
68	1.0531e-03	1.1207e-03	4.8543e-03
69	1.6324e-03	2.7937e-04	5.1567e-03
70	1.8048e-03	1.0697e-03	3.1898e-03
71	1.0934e-03	1.0115e-03	4.5351e-03
72	2.8739e-03	6.9094e-04	2.1328e-03
73	7.1272e-04	2.0249e-03	2.2107e-03
74	7.9391e-04	5.8444e-04	2.9425e-03
75	1.3938e-03	6.8228e-04	2.8826e-03
76	9.6703e-04	4.0145e-04	3.4732e-03
77	9.2122e-04	6.8244e-04	3.3476e-03
78	5.7456e-04	5.3908e-04	3.9983e-03
79	1.1132e-03	2.5626e-04	4.1262e-03
80	7.1185e-04	8.8888e-04	3.7569e-03
81	5.9422e-04	7.5445e-04	4.4282e-03
82	1.3128e-03	1.5271e-04	4.7172e-03
83	1.1169e-03	8.7317e-04	4.1139e-03
84	1.0107e-03	1.0573e-03	4.6927e-03
85	1.7601e-03	1.9266e-04	4.3267e-03
86	1.3171e-03	1.7661e-03	3.2588e-03
87	7.7871e-04	1.0654e-03	5.1229e-03
88	3.1969e-03	8.0257e-04	2.4879e-03
89	8.0530e-04	1.0086e-03	2.6677e-03
90	1.3610e-03	9.7040e-04	2.2580e-03
91	8.4632e-04	6.1275e-04	3.2682e-03
92	1.7578e-03	6.6593e-04	2.6524e-03
93	9.6286e-04	4.4002e-04	2.9215e-03
94	9.3198e-04	8.5861e-04	2.8658e-03
95	5.5669e-04	4.3604e-04	3.6608e-03
96	1.1444e-03	4.3138e-04	3.4677e-03
97	4.4336e-04	5.0004e-04	3.9632e-03
98	5.3053e-04	2.0512e-04	3.8363e-03
99	5.9065e-04	2.2864e-04	4.1023e-03
100	4.0212e-04	3.4718e-04	4.0549e-03
101	3.5595e-04	3.1008e-04	4.2091e-03
102	4.2447e-04	1.3712e-04	5.0221e-03
103	4.7136e-04	1.0811e-04	4.4454e-03
104	3.5593e-04	1.6889e-04	4.6968e-03
105	3.0073e-04	2.1978e-04	4.3708e-03
106	3.0027e-04	2.6461e-04	4.5635e-03
107	2.2624e-04	2.5425e-04	4.6848e-03
108	2.2050e-04	2.6173e-04	4.7687e-03
109	2.1126e-04	1.6720e-04	4.8290e-03
110	1.9018e-04	1.5651e-04	4.5377e-03
111	1.7622e-04	1.3722e-04	4.4647e-03
112	1.6029e-04	1.0557e-04	4.6215e-03
113	1.4355e-04	1.3470e-04	4.7415e-03
114	1.7696e-04	1.5030e-04	5.5128e-03
115	1.6728e-04	1.7881e-04	5.0807e-03
116	3.6231e-04	3.2447e-04	5.7540e-03
117	1.6078e-04	5.3371e-04	5.5577e-03
118	1.3746e-03	9.5805e-04	4.6494e-03
119	4.1282e-04	1.2132e-03	4.5530e-03
120	7.3960e-04	9.6658e-04	4.7500e-03
121	1.5638e-03	3.1396e-04	4.7107e-03
122	1.1047e-03	1.7960e-03	2.8671e-03
123	9.0573e-04	1.0890e-03	4.8360e-03
124	3.6294e-03	1.1983e-03	3.1530e-03
125	2.1328e-03	7.4683e-04	1.7315e-03
126	1.0336e-03	2.6025e-03	1.8806e-03
127	1.1364e-03	8.0670e-04	2.2508e-03
128	1.2569e-03	7.4690e-04	3.1939e-03
129	1.8550e-03	6.4089e-04	2.4905e-03
130	7.7178e-04	5.2698e-04	3.3382e-03
131	9.9678e-04	5.1524e-04	3.0955e-03
132	4.5695e-04	4.5343e-04	3.8144e-03
133	8.9614e-04	2.7757e-04	3.6941e-03
134	4.1164e-04	7.1124e-04	3.6177e-03
135	2.9911e-04	4.4438e-04	4.1263e-03
136	8.0308e-04	1.7922e-04	4.3318e-03
137	5.8752e-04	6.7658e-04	3.8428e-03
138	4.0882e-04	6.5477e-04	4.2847e-03
139	9.7946e-04	1.7722e-04	4.2285e-03
140	7.2301e-04	9.2650e-04	3.3640e-03
141	3.7765e-04	6.3473e-04	4.0988e-03
142	1.4415e-03	4.1395e-04	2.8867e-03
143	3.6570e-04	8.1063e-04	2.9142e-03
144	5.3158e-04	2.2874e-04	2.8587e-03
145	6.0954e-04	3.7827e-04	2.8789e-03
146	5.7588e-04	2.2472e-04	2.9856e-03
147	4.4302e-04	4.4882e-04	3.0824e-03
148	3.4032e-04	2.4321e-04	3.3745e-03
149	4.9475e-04	2.4426e-04	3.5620e-03
150	2.6833e-04	2.5618e-04	3.9469e-03
151	2.8270e-04	1.5101e-04	3.9491e-03
152	2.8548e-04	1.3971e-04	4.3440e-03
153	2.4700e-04	1.7716e-04	4.2831e-03
154	2.0565e-04	2.1905e-04	4.4098e-03
155	2.1014e-04	1.0590e-04	4.8731e-03
156	2.2185e-04	8.4929e-05	4.6564e-03
157	1.7144e-04	8.5075e-05	4.8648e-03
158	1.7202e-04	9.5813e-05	4.6136e-03
159	1.5284e-04	1.5093e-04	4.7609e-03
160	1.2574e-04	1.8487e-04	4.6494e-03
161	1.6214e-04	2.6794e-04	4.7959e-03
162	1.0948e-04	2.3753e-04	4.7933e-03
163	1.3301e-04	2.7959e-04	4.7868e-03
164	1.2569e-04	1.6302e-04	4.7772e-03
165	1.0485e-04	1.4881e-04	4.5723e-03
166	1.0421e-04	1.0619e-04	4.5202e-03
167	9.1101e-05	8.9024e-05	4.5724e-03
168	8.4562e-05	9.7889e-05	4.7100e-03
169	9.3799e-05	1.1740e-04	5.1619e-03
170	8.4384e-05	1.5343e-04	5.0921e-03
171	1.9117e-04	3.0928e-04	5.4899e-03
172	7.3088e-05	4.0566e-04	5.2585e-03
173	5.2600e-04	7.0894e-04	5.0328e-03
174	2.4838e-04	4.8446e-04	4.9142e-03
175	1.2448e-04	3.7418e-04	4.5736e-03
176	2.9496e-04	9.4174e-05	4.9290e-03
177	3.9242e-04	2.4066e-04	3.6169e-03
178	3.2601e-04	4.2517e-04	3.4748e-03
179	4.8017e-04	1.4078e-04	3.7780e-03
180	3.3987e-04	7.1754e-04	3.6521e-03
181	5.9932e-04	8.6773e-04	4.4901e-03
182	1.5085e-03	2.6051e-04	4.0905e-03
183	5.9431e-04	1.9358e-03	2.7675e-03
184	3.5680e-04	7.2479e-04	4.3658e-03
185	2.3564e-03	7.4902e-04	2.4789e-03
186	8.2951e-04	4.6743e-04	2.4278e-03
187	8.2701e-04	1.6730e-03	1.9649e-03
188	5.4298e-04	4.3671e-04	3.0209e-03
189	1.4048e-03	6.5935e-04	2.9790e-03
190	1.2052e-03	3.6875e-04	2.5642e-03
191	4.6261e-04	7.6836e-04	3.1509e-03
192	5.8492e-04	2.3873e-04	3.0181e-03
193	4.5386e-04	3.7454e-04	3.3732e-03
194	5.1097e-04	1.8873e-04	3.9051e-03
195	3.1084e-04	3.6582e-04	3.9555e-03
196	2.1100e-04	2.7159e-04	4.0645e-03
197	4.4076e-04	1.8765e-04	4.5181e-03
198	2.8355e-04	3.1610e-04	4.1692e-03
199	1.9617e-04	3.2061e-04	4.1299e-03
200	3.7370e-04	1.1589e-04	4.5165e-03
201	3.5467e-04	3.1968e-04	3.8050e-03
202	2.0821e-04	3.8064e-04	3.8241e-03
203	4.7639e-04	1.4267e-04	3.8447e-03
204	2.8824e-04	5.5130e-04	3.3855e-03
205	2.0558e-04	3.8906e-04	3.7193e-03
206	7.0911e-04	2.6155e-04	3.2949e-03
207	2.0655e-04	5.2984e-04	3.3166e-03
208	2.2786e-04	1.8764e-04	3.3466e-03
209	4.1099e-04	2.4866e-04	3.3150e-03
210	2.0531e-04	1.6729e-04	3.7441e-03
211	2.5221e-04	1.1510e-04	3.6221e-03
212	1.6659e-04	1.8088e-04	3.8511e-03
213	1.6041e-04	7.4736e-05	4.4960e-03
