268	6.8345e-03	---
269	6.8304e-03	---
270	6.8262e-03	---
271	6.8196e-03	---
272	6.8101e-03	---
273	6.7954e-03	---
274	6.7815e-03	---
275	6.7712e-03	---
276	6.7646e-03	---
277	6.7605e-03	---
278	6.7593e-03	---
279	6.7623e-03	---
280	6.7618e-03	---
281	6.7482e-03	---
282	6.7335e-03	---
283	6.7195e-03	---
284	6.7098e-03	---
285	6.7045e-03	---
286	6.7020e-03	---
287	6.7023e-03	---
288	6.6976e-03	---
289	6.6891e-03	---
290	6.6760e-03	---
291	6.6635e-03	---
292	6.6558e-03	---
293	6.6493e-03	---
294	6.6429e-03	---
295	6.6360e-03	---
296	6.6291e-03	---
297	6.6224e-03	---
298	6.6157e-03	---
299	6.6089e-03	---
300	6.6020e-03	6.6572e-03
301	6.5950e-03	---
302	6.5881e-03	---
303	6.5813e-03	---
304	6.5745e-03	---
305	6.5684e-03	---
306	6.5633e-03	---
307	6.5597e-03	---
308	6.5567e-03	---
309	6.5509e-03	---
310	6.5420e-03	---
311	6.5320e-03	---
312	6.5228e-03	---
313	6.5150e-03	---
314	6.5083e-03	---
315	6.5019e-03	---
316	6.4961e-03	---
317	6.4892e-03	---
318	6.4824e-03	---
319	6.4755e-03	---
320	6.4688e-03	---
321	6.4623e-03	---
322	6.4562e-03	---
323	6.4496e-03	---
324	6.4434e-03	---
325	6.4370e-03	---
326	6.4304e-03	---
327	6.4236e-03	---
328	6.4168e-03	---
329	6.4105e-03	---
330	6.4036e-03	---
331	6.3970e-03	---
332	6.3904e-03	---
333	6.3840e-03	---
334	6.3773e-03	---
335	6.3707e-03	---
336	6.3643e-03	---
337	6.3582e-03	---
338	6.3535e-03	---
339	6.3536e-03	---
340	6.3592e-03	---
341	6.3729e-03	---
342	6.3973e-03	---
343	6.4144e-03	---
344	6.4037e-03	---
345	6.3586e-03	---
346	6.3110e-03	---
347	6.2958e-03	---
348	6.3138e-03	---
349	6.3249e-03	---
350	6.3098e-03	---
351	6.2757e-03	---
352	6.2633e-03	---
353	6.2757e-03	---
354	6.2757e-03	---
355	6.2507e-03	---
356	6.2351e-03	---
357	6.2396e-03	---
358	6.2441e-03	---
359	6.2268e-03	---
360	6.2086e-03	---
361	6.2088e-03	---
362	6.2102e-03	---
363	6.1967e-03	---
364	6.1823e-03	---
365	6.1856e-03	---
366	6.1848e-03	---
367	6.1700e-03	---
368	6.1567e-03	---
369	6.1611e-03	---
370	6.1593e-03	---
371	6.1421e-03	---
372	6.1317e-03	---
373	6.1395e-03	---
374	6.1350e-03	---
375	6.1178e-03	---
376	6.1040e-03	---
377	6.1064e-03	---
378	6.1040e-03	---
379	6.0899e-03	---
380	6.0780e-03	---
381	6.0744e-03	---
382	6.0706e-03	---
383	6.0607e-03	---
384	6.0517e-03	---
385	6.0472e-03	---
386	6.0424e-03	---
387	6.0353e-03	---
388	6.0262e-03	---
389	6.0198e-03	---
390	6.0155e-03	---
391	6.0098e-03	---
392	6.0014e-03	---
393	5.9934e-03	---
394	5.9871e-03	---
395	5.9821e-03	---
396	5.9763e-03	---
397	5.9686e-03	---
398	5.9610e-03	---
399	5.9544e-03	---
400	5.9486e-03	6.0531e-03
401	5.9434e-03	---
402	5.9360e-03	---
403	5.9288e-03	---
404	5.9213e-03	---
405	5.9159e-03	---
406	5.9131e-03	---
407	5.9092e-03	---
408	5.8981e-03	---
409	5.8881e-03	---
410	5.8813e-03	---
411	5.8782e-03	---
412	5.8733e-03	---
413	5.8628e-03	---
414	5.8543e-03	---
415	5.8487e-03	---
416	5.8449e-03	---
417	5.8385e-03	---
418	5.8306e-03	---
419	5.8233e-03	---
420	5.8148e-03	---
421	5.8075e-03	---
422	5.8016e-03	---
423	5.7952e-03	---
424	5.7874e-03	---
425	5.7798e-03	---
426	5.7728e-03	---
427	5.7664e-03	---
428	5.7601e-03	---
429	5.7537e-03	---
430	5.7471e-03	---
431	5.7394e-03	---
432	5.7319e-03	---
433	5.7251e-03	---
434	5.7192e-03	---
435	5.7145e-03	---
436	5.7079e-03	---
437	5.7004e-03	---
438	5.6930e-03	---
439	5.6848e-03	---
440	5.6785e-03	---
441	5.6739e-03	---
442	5.6714e-03	---
443	5.6709e-03	---
444	5.6681e-03	---
445	5.6632e-03	---
446	5.6561e-03	---
447	5.6448e-03	---
448	5.6341e-03	---
449	5.6245e-03	---
450	5.6136e-03	---
451	5.6040e-03	---
452	5.5975e-03	---
453	5.5939e-03	---
454	5.5917e-03	---
455	5.5928e-03	---
456	5.5937e-03	---
457	5.5922e-03	---
458	5.5898e-03	---
459	5.5772e-03	---
460	5.5614e-03	---
461	5.5464e-03	---
462	5.5334e-03	---
463	5.5236e-03	---
464	5.5152e-03	---
465	5.5098e-03	---
466	5.5071e-03	---
467	5.5046e-03	---
468	5.5062e-03	---
469	5.5053e-03	---
470	5.5023e-03	---
471	5.5016e-03	---
472	5.4969e-03	---
473	5.4901e-03	---
474	5.4731e-03	---
475	5.4556e-03	---
476	5.4407e-03	---
477	5.4276e-03	---
