EPOCH 375, LOSS: 0.002282107248902321
EPOCH 376, LOSS: 0.0022961164359003305
EPOCH 377, LOSS: 0.002267239848151803
EPOCH 378, LOSS: 0.0022897529415786266
EPOCH 379, LOSS: 0.002256778534501791
EPOCH 380, LOSS: 0.0022964850068092346
EPOCH 381, LOSS: 0.0022610677406191826
EPOCH 382, LOSS: 0.0023376336321234703
EPOCH 383, LOSS: 0.002311420626938343
EPOCH 384, LOSS: 0.0024580308236181736
EPOCH 385, LOSS: 0.0024691096041351557
EPOCH 386, LOSS: 0.002667475026100874
EPOCH 387, LOSS: 0.0026458511129021645
EPOCH 388, LOSS: 0.002672762842848897
EPOCH 389, LOSS: 0.002356532961130142
EPOCH 390, LOSS: 0.0022891105618327856
EPOCH 391, LOSS: 0.002221672097221017
EPOCH 392, LOSS: 0.0022228460293263197
EPOCH 393, LOSS: 0.00238803680986166
EPOCH 394, LOSS: 0.0021978956647217274
EPOCH 395, LOSS: 0.0021643051877617836
EPOCH 396, LOSS: 0.002149029169231653
EPOCH 397, LOSS: 0.0021473749075084925
EPOCH 398, LOSS: 0.0022132068406790495
EPOCH 399, LOSS: 0.0021080481819808483
EPOCH 400, LOSS: 0.002073294250294566
EPOCH 401, LOSS: 0.0020588310435414314
EPOCH 402, LOSS: 0.0020651542581617832
EPOCH 403, LOSS: 0.0021113529801368713
EPOCH 404, LOSS: 0.00205166800878942
EPOCH 405, LOSS: 0.0020409938879311085
EPOCH 406, LOSS: 0.0020310822874307632
EPOCH 407, LOSS: 0.0020248894579708576
EPOCH 408, LOSS: 0.0020701398607343435
EPOCH 409, LOSS: 0.0020115182269364595
EPOCH 410, LOSS: 0.0020119654946029186
EPOCH 411, LOSS: 0.002019583946093917
EPOCH 412, LOSS: 0.0019935083109885454
EPOCH 413, LOSS: 0.0020209725480526686
EPOCH 414, LOSS: 0.0019703947473317385
EPOCH 415, LOSS: 0.00196464778855443
EPOCH 416, LOSS: 0.0019680201075971127
EPOCH 417, LOSS: 0.0019438479794189334
EPOCH 418, LOSS: 0.001964101567864418
EPOCH 419, LOSS: 0.0019249303732067347
EPOCH 420, LOSS: 0.0019290255149826407
EPOCH 421, LOSS: 0.0019075978780165315
EPOCH 422, LOSS: 0.0019003931665793061
